"arms";"jacc";"turn";"nest";"bray"
"202";"CINA1A";0,416666666666667;0,222222222222222;0,194444444444444;0,649202649202649
"203";"CINA1A";0,615384615384615;0,545454545454545;0,0699300699300699;0,56240412480825
"204";"CINA1A";0,5;0,444444444444444;0,0555555555555556;0,979548979548979
"205";"CINA1A";0,454545454545455;0,4;0,0545454545454545;0,740323
"206";"CINA1A";0,4;0,25;0,15;0,814197
"207";"CINA1A";0,5;0,5;0;0,948006
"208";"CINA1A";0,666666666666667;0,6;0,0666666666666667;0,398275264409736
"209";"CINA1A";0,363636363636364;0,363636363636364;0;0,700599
"210";"CINA1A";0,583333333333333;0,545454545454545;0,0378787878787879;0,596606210181369
"211";"CINA1A";0,5;0,5;0;0,375521
"212";"CINA1A";0,222222222222222;0;0,222222222222222;0,946437
"213";"CINA1A";0,333333333333333;0,2;0,133333333333333;0,771740228259772
"214";"CINA1A";0,642857142857143;0,615384615384615;0,0274725274725275;0,995259996951994
"215";"CINA1A";0,545454545454545;0,444444444444444;0,101010101010101;0,58420700044
"216";"CINA1A";0,5;0,444444444444444;0,0555555555555556;0,879642
"217";"CINA1A";0,454545454545455;0,4;0,0545454545454545;0,9988
"218";"CINA1A";0,454545454545455;0,4;0,0545454545454545;0,734277734277734
"219";"CINA1A";0,3;0,222222222222222;0,0777777777777778;0,796921
"220";"CINA1A";0,545454545454545;0,545454545454545;0;0,358924144778566
"221";"CINA1A";0,4;0,4;0;0,859297
"222";"CINA1A";0,5;0,444444444444444;0,0555555555555556;0,598174
"223";"CINA1A";0,416666666666667;0,222222222222222;0,194444444444444;0,9988
"224";"CINA1A";0,416666666666667;0,222222222222222;0,194444444444444;0,633900733016733
"225";"CINA1A";0,636363636363636;0,6;0,0363636363636364;0,84733
"226";"CINA1A";0,545454545454545;0,444444444444444;0,101010101010101;0,525704
"227";"CINA1A";0,545454545454545;0,444444444444444;0,101010101010101;0,921832921832922
"228";"CINA1A";0,6;0,6;0;0,879642
"229";"CINA1A";0,636363636363636;0,6;0,0363636363636364;0,851878
"230";"CINA1A";0,5;0,444444444444444;0,0555555555555556;0,481772
"231";"CINA1A";0,666666666666667;0,6;0,0666666666666667;0,714483
"232";"CINA1A";0,5;0,25;0,25;0,690863
"233";"CINA1A";0,5;0,25;0,25;0,851227851227851
"234";"CINA1A";0,692307692307692;0,6;0,0923076923076923;0,978417956835914
"235";"CINA1A";0,363636363636364;0,363636363636364;0;0,999446999446999
"236";"CINA1A";0,4;0,25;0,15;1
"237";"CINA1A";0,5;0,5;0;0,470623
"238";"CINA1A";0,454545454545455;0,4;0,0545454545454545;0,700851
"239";"CINA1A";0,363636363636364;0,363636363636364;0;0,821568
"240";"CINA1A";0,545454545454545;0,444444444444444;0,101010101010101;0,8121
"241";"CINA1A";0,333333333333333;0,2;0,133333333333333;0,851227851227851
"242";"CINA1A";0,538461538461538;0,5;0,0384615384615385;1
"243";"CINA1A";0,545454545454545;0,444444444444444;0,101010101010101;0,766930233069767
"244";"CINA1A";0,4;0,25;0,15;0,428824238205429
"245";"CINA1A";0,5;0,5;0;0,653079833514833
"246";"CINA1A";0,692307692307692;0,666666666666667;0,0256410256410256;0,570387225949259
"247";"CINA1A";0,615384615384615;0,615384615384615;0;0,386347855189855
"248";"CINA1A";0,666666666666667;0,6;0,0666666666666667;0,826440895889896
"249";"CINA1A";0,571428571428571;0,5;0,0714285714285714;0,787962178485788
"250";"CINA1A";0,538461538461538;0,5;0,0384615384615385;0,808124808124808
"251";"CINA1A";0,666666666666667;0,6;0,0666666666666667;0,904616905496905
"252";"CINA1A";0,4;0,25;0,15;0,617701
"253";"CINA1A";0,5;0,444444444444444;0,0555555555555556;0,395043750760812
"254";"CINA1A";0,333333333333333;0,25;0,0833333333333333;0,862114010714989
"255";"CINA1A";0,727272727272727;0,727272727272727;0;0,918274032053968
"256";"CINA1A";0,615384615384615;0,444444444444444;0,170940170940171;0,805031194968805
"257";"CINA1A";0,5;0,25;0,25;0,628242371757628
"258";"CINA1A";0,444444444444444;0,444444444444444;0;0,724875275124725
"259";"CINA1A";0,454545454545455;0,4;0,0545454545454545;0,617701
"260";"CINA1A";0,3;0,222222222222222;0,0777777777777778;0,661315
"261";"CINA1A";0,5;0,5;0;0,583417
"262";"CINA1A";0,333333333333333;0,2;0,133333333333333;0,745925015275985
"263";"CINA1A";0,333333333333333;0,2;0,133333333333333;0,702116851227851
"264";"CINA1A";0,538461538461538;0,5;0,0384615384615385;0,855852
"265";"CINA1A";0,4;0,4;0;0,872829
"266";"CINA1A";0,583333333333333;0,545454545454545;0,0378787878787879;0,600939491671525
"267";"CINA1A";0,636363636363636;0,6;0,0363636363636364;0,598174
"268";"CINA1A";0,538461538461538;0,4;0,138461538461538;0,563508241542208
"269";"CINA1A";0,5;0,4;0,1;0,44889865330404
"270";"CINA1A";0,636363636363636;0,6;0,0363636363636364;0,760496718509845
"271";"CINA1A";0,583333333333333;0,545454545454545;0,0378787878787879;0,772876
"272";"CINA1A";0,5;0,444444444444444;0,0555555555555556;0,645841
"273";"CINA1A";0,416666666666667;0,222222222222222;0,194444444444444;0,777186055616944
"274";"CINA1A";0,5;0,4;0,1;0,923163956835914
"275";"CINA1A";0,636363636363636;0,6;0,0363636363636364;0,715029081026919
"276";"CINA1A";0,4;0,25;0,15;0,933504
"277";"CINA1A";0,571428571428571;0,5;0,0714285714285714;0,815746184253816
"278";"CINA1A";0,461538461538462;0,363636363636364;0,0979020979020979;0,850897850897851
"279";"CINA1A";0,545454545454545;0,444444444444444;0,101010101010101;0,586398
"280";"CINA1A";0,363636363636364;0;0,363636363636364;0,859642
"281";"CINA1A";0,363636363636364;0;0,363636363636364;0,581094677485678
"282";"CINA1A";0,692307692307692;0,6;0,0923076923076923;0,559117921887844
"283";"CINA1A";0,307692307692308;0,307692307692308;0;0,936212047445936
"284";"CINA1A";0,6;0,571428571428571;0,0285714285714286;0,998475996951994
"285";"CINA1A";0,615384615384615;0,444444444444444;0,170940170940171;0,944383055616944
"286";"CINA1A";0,384615384615385;0,333333333333333;0,0512820512820513;0,382219382219382
"287";"CINA1A";0,615384615384615;0,444444444444444;0,170940170940171;0,714229877163714
"288";"CINA1A";0,785714285714286;0,727272727272727;0,0584415584415584;1
"289";"CINA1A";0,454545454545455;0,4;0,0545454545454545;0,961841961841962
"290";"CINA1A";0,4;0,4;0;0,862725961841962
"291";"CINA1A";0,333333333333333;0,25;0,0833333333333333;0,71030871030871
"292";"CINA1A";0,454545454545455;0,4;0,0545454545454545;0,891230891230891
"293";"CINA1A";0,5;0,444444444444444;0,0555555555555556;0,650560308537651
"294";"CINA1A";0,454545454545455;0,4;0,0545454545454545;0,77703697954898
"295";"CINA1A";0,545454545454545;0,545454545454545;0;0,756121978572979
"296";"CINA1A";0,583333333333333;0,545454545454545;0,0378787878787879;0,97954897954898
"297";"CINA1A";0,5;0,444444444444444;0,0555555555555556;0,80997
"298";"CINA1A";0,416666666666667;0,222222222222222;0,194444444444444;0,649202649202649
"299";"CINA1A";0,615384615384615;0,545454545454545;0,0699300699300699;0,56240412480825
"300";"CINA1A";0,5;0,444444444444444;0,0555555555555556;0,979548979548979
"301";"CINA1A";0,454545454545455;0,4;0,0545454545454545;0,740323
"302";"CINA1A";0,4;0,25;0,15;0,814197
"303";"CINA1A";0,5;0,5;0;0,948006
"304";"CINA1A";0,666666666666667;0,6;0,0666666666666667;0,398275264409736
"305";"CINA1A";0,363636363636364;0,363636363636364;0;0,700599
"306";"CINA1A";0,583333333333333;0,545454545454545;0,0378787878787879;0,596606210181369
"307";"CINA1A";0,5;0,5;0;0,375521
"308";"CINA1A";0,222222222222222;0;0,222222222222222;0,946437
"309";"CINA1A";0,333333333333333;0,2;0,133333333333333;0,771740228259772
"310";"CINA1A";0,642857142857143;0,615384615384615;0,0274725274725275;0,995259996951994
"311";"CINA1A";0,545454545454545;0,444444444444444;0,101010101010101;0,58420700044
