"arms";"jacc_quantile";"turn_quantile";"nest_quantile";"bray_quantile";"nest";"nest_numeric"
"761";"CINA3B";"5%";"22.5%";"0%";"5%";"0%";1
"762";"CINA3B";"47.5%";"52.5%";"40%";"5%";"40%";17
"763";"CINA3B";"22.5%";"5%";"95%";"15%";"95%";39
"764";"CINA3B";"7.5%";"5%";"85%";"7.5%";"85%";35
"765";"CINA3B";"27.5%";"22.5%";"70%";"20%";"70%";29
"766";"CINA3B";"47.5%";"52.5%";"40%";"25%";"40%";17
"767";"CINA3B";"27.5%";"32.5%";"45%";"5%";"45%";19
"768";"CINA3B";"27.5%";"52.5%";"0%";"5%";"0%";1
"769";"CINA3C";"65%";"42.5%";"77.5%";"7.5%";"77.5%";32
"770";"CINA3C";"37.5%";"42.5%";"60%";"12.5%";"60%";25
"771";"CINA3C";"97.5%";"100%";"15%";"10%";"15%";7
"772";"CINA3C";"100%";"100%";"35%";"12.5%";"35%";15
"773";"CINA3C";"2.5%";"7.5%";"50%";"2.5%";"50%";21
"774";"CINA3C";"10%";"7.5%";"70%";"7.5%";"70%";29
"775";"CINA3C";"100%";"100%";"40%";"15%";"40%";17
"776";"CINA3C";"7.5%";"20%";"50%";"7.5%";"50%";21
"777";"CINA3C";"60%";"75%";"0%";"7.5%";"0%";1
"778";"CINA3C";"100%";"100%";"65%";"22.5%";"65%";27
"779";"CINA3C";"10%";"7.5%";"70%";"2.5%";"70%";29
"780";"CINA3C";"32.5%";"7.5%";"92.5%";"10%";"92.5%";38
"781";"CINA3C";"22.5%";"27.5%";"55%";"25%";"55%";23
"782";"CINA3C";"32.5%";"37.5%";"70%";"7.5%";"70%";29
"783";"CINA3C";"65%";"42.5%";"77.5%";"5%";"77.5%";32
"784";"CINA3C";"32.5%";"37.5%";"70%";"20%";"70%";29
"785";"CINA3C";"50%";"52.5%";"45%";"15%";"45%";19
"786";"CINA3C";"32.5%";"37.5%";"70%";"5%";"70%";29
"787";"CINA3C";"52.5%";"20%";"95%";"25%";"95%";39
"788";"CINA3C";"65%";"42.5%";"77.5%";"12.5%";"77.5%";32
"789";"CINA3C";"22.5%";"27.5%";"55%";"5%";"55%";23
"790";"CINA3C";"50%";"52.5%";"45%";"15%";"45%";19
"791";"CINA3C";"25%";"42.5%";"32.5%";"2.5%";"32.5%";14
"792";"CINA3C";"20%";"37.5%";"37.5%";"0%";"37.5%";16
"793";"CINA3C";"10%";"7.5%";"70%";"12.5%";"70%";29
"794";"CINA3C";"95%";"97.5%";"0%";"40%";"0%";1
"795";"CINA3C";"25%";"52.5%";"0%";"0%";"0%";1
"796";"CINA3C";"52.5%";"62.5%";"27.5%";"20%";"27.5%";12
"797";"CINA3C";"80%";"87.5%";"20%";"37.5%";"20%";9
"798";"CINA3C";"10%";"7.5%";"70%";"2.5%";"70%";29
"799";"CINA3C";"25%";"52.5%";"0%";"32.5%";"0%";1
"800";"CINA3C";"95%";"87.5%";"65%";"42.5%";"65%";27
"801";"CINA3C";"25%";"27.5%";"67.5%";"22.5%";"67.5%";28
"802";"CINA3C";"75%";"75%";"20%";"7.5%";"20%";9
"803";"CINA3C";"52.5%";"62.5%";"27.5%";"15%";"27.5%";12
"804";"CINA3C";"82.5%";"90%";"0%";"0%";"0%";1
"805";"CINA3C";"82.5%";"90%";"0%";"7.5%";"0%";1
"806";"CINA3C";"25%";"37.5%";"57.5%";"12.5%";"57.5%";24
"807";"CINA3C";"60%";"52.5%";"57.5%";"0%";"57.5%";24
"808";"CINA3C";"52.5%";"62.5%";"27.5%";"12.5%";"27.5%";12
"809";"CINA3C";"72.5%";"37.5%";"87.5%";"15%";"87.5%";36
"810";"CINA3C";"52.5%";"62.5%";"27.5%";"12.5%";"27.5%";12
"811";"CINA3C";"100%";"100%";"35%";"12.5%";"35%";15
"812";"CINA3C";"25%";"42.5%";"40%";"5%";"40%";17
"813";"CINA3C";"37.5%";"42.5%";"60%";"10%";"60%";25
"814";"CINA3C";"90%";"75%";"52.5%";"15%";"52.5%";22
"815";"CINA3C";"45%";"52.5%";"37.5%";"10%";"37.5%";16
"816";"CINA3C";"17.5%";"42.5%";"0%";"2.5%";"0%";1
"817";"CINA3C";"97.5%";"75%";"75%";"20%";"75%";31
"818";"CINA3C";"82.5%";"75%";"40%";"0%";"40%";17
"819";"CINA3C";"80%";"42.5%";"80%";"7.5%";"80%";33
"820";"CINA3C";"90%";"90%";"15%";"32.5%";"15%";7
"821";"CINA3C";"65%";"87.5%";"0%";"17.5%";"0%";1
"822";"CINA3C";"90%";"90%";"15%";"7.5%";"15%";7
"823";"CINA3C";"97.5%";"90%";"50%";"32.5%";"50%";21
"824";"CINA3C";"37.5%";"42.5%";"60%";"12.5%";"60%";25
"825";"CINA3C";"95%";"97.5%";"0%";"7.5%";"0%";1
"826";"CINA3C";"95%";"97.5%";"0%";"32.5%";"0%";1
"827";"CINA3C";"60%";"52.5%";"57.5%";"7.5%";"57.5%";24
"828";"CINA3C";"20%";"37.5%";"37.5%";"0%";"37.5%";16
"829";"CINA3C";"10%";"37.5%";"0%";"7.5%";"0%";1
"830";"CINA3C";"100%";"100%";"20%";"32.5%";"20%";9
"831";"CINA3C";"25%";"42.5%";"40%";"2.5%";"40%";17
"832";"CINA3C";"20%";"37.5%";"37.5%";"22.5%";"37.5%";16
"833";"CINA3C";"100%";"100%";"47.5%";"45%";"47.5%";20
"834";"CINA3C";"50%";"37.5%";"77.5%";"15%";"77.5%";32
"835";"CINA3C";"0%";"5%";"47.5%";"5%";"47.5%";20
"836";"CINA3C";"80%";"87.5%";"20%";"15%";"20%";9
"837";"CINA3C";"25%";"20%";"87.5%";"0%";"87.5%";36
"838";"CINA3C";"5%";"27.5%";"0%";"12.5%";"0%";1
"839";"CINA3C";"95%";"87.5%";"65%";"20%";"65%";27
"840";"CINA3C";"5%";"27.5%";"0%";"7.5%";"0%";1
"841";"CINA3C";"95%";"90%";"35%";"2.5%";"35%";15
"842";"CINA3C";"0%";"0%";"90%";"7.5%";"90%";37
"843";"CINA3C";"25%";"42.5%";"40%";"0%";"40%";17
"844";"CINA3C";"100%";"90%";"65%";"7.5%";"65%";27
"845";"CINA3C";"0%";"5%";"47.5%";"2.5%";"47.5%";20
"846";"CINA3C";"22.5%";"5%";"90%";"0%";"90%";37
"847";"CINA3C";"100%";"90%";"65%";"32.5%";"65%";27
"848";"CINA3C";"52.5%";"42.5%";"70%";"5%";"70%";29
"849";"CINA3C";"80%";"87.5%";"20%";"7.5%";"20%";9
"850";"CINA3C";"100%";"100%";"15%";"32.5%";"15%";7
"851";"CINA3C";"32.5%";"52.5%";"47.5%";"2.5%";"47.5%";20
"852";"CINA3C";"45%";"52.5%";"37.5%";"2.5%";"37.5%";16
"853";"CINA3C";"2.5%";"0%";"97.5%";"25%";"97.5%";40
"854";"CINA3C";"100%";"90%";"75%";"45%";"75%";31
"855";"CINA3C";"65%";"20%";"95%";"15%";"95%";39
"856";"CINA3C";"10%";"7.5%";"70%";"5%";"70%";29
"857";"CINA3C";"90%";"42.5%";"90%";"7.5%";"90%";37
"858";"CINA3C";"37.5%";"42.5%";"60%";"7.5%";"60%";25
"859";"CINA3C";"82.5%";"52.5%";"70%";"2.5%";"70%";29
"860";"CINA3C";"25%";"52.5%";"0%";"25%";"0%";1
"861";"CINA3C";"7.5%";"2.5%";"77.5%";"2.5%";"77.5%";32
"862";"CINA3C";"100%";"100%";"35%";"45%";"35%";15
"863";"CINA3C";"45%";"52.5%";"37.5%";"2.5%";"37.5%";16
"864";"CINA3C";"25%";"27.5%";"67.5%";"15%";"67.5%";28
"865";"CINA4A";"100%";"95%";"55%";"20%";"55%";23
"866";"CINA4A";"70%";"85%";"0%";"2.5%";"0%";1
"867";"CINA4A";"87.5%";"80%";"72.5%";"12.5%";"72.5%";30
"868";"CINA4A";"80%";"85%";"37.5%";"7.5%";"37.5%";16
"869";"CINA4A";"65%";"67.5%";"22.5%";"7.5%";"22.5%";10
"870";"CINA4A";"95%";"95%";"15%";"22.5%";"15%";7
"871";"CINA4A";"80%";"85%";"20%";"12.5%";"20%";9
"872";"CINA4A";"80%";"85%";"20%";"2.5%";"20%";9
"873";"CINA4A";"75%";"85%";"20%";"37.5%";"20%";9
"874";"CINA4A";"75%";"85%";"20%";"12.5%";"20%";9
"875";"CINA4A";"75%";"65%";"65%";"2.5%";"65%";27
"876";"CINA4A";"65%";"62.5%";"57.5%";"15%";"57.5%";24
"877";"CINA4A";"70%";"40%";"85%";"17.5%";"85%";35
"878";"CINA4A";"22.5%";"40%";"0%";"7.5%";"0%";1
"879";"CINA4A";"57.5%";"40%";"80%";"5%";"80%";33
"880";"CINA4A";"57.5%";"40%";"80%";"15%";"80%";33
"881";"CINA4A";"57.5%";"40%";"80%";"20%";"80%";33
"882";"CINA4A";"15%";"7.5%";"82.5%";"2.5%";"82.5%";34
"883";"CINA4A";"22.5%";"7.5%";"90%";"10%";"90%";37
"884";"CINA4A";"17.5%";"0%";"100%";"20%";"100%";41
"885";"CINA4A";"80%";"40%";"92.5%";"12.5%";"92.5%";38
"886";"CINA4A";"75%";"80%";"27.5%";"15%";"27.5%";12
"887";"CINA4A";"65%";"7.5%";"100%";"15%";"100%";41
"888";"CINA4A";"70%";"40%";"85%";"2.5%";"85%";35
"889";"CINA4A";"35%";"47.5%";"27.5%";"12.5%";"27.5%";12
"890";"CINA4A";"90%";"92.5%";"27.5%";"20%";"27.5%";12
"891";"CINA4A";"80%";"85%";"20%";"15%";"20%";9
"892";"CINA4A";"52.5%";"60%";"52.5%";"2.5%";"52.5%";22
"893";"CINA4A";"80%";"85%";"20%";"27.5%";"20%";9
"894";"CINA4A";"32.5%";"37.5%";"27.5%";"20%";"27.5%";12
"895";"CINA4A";"90%";"92.5%";"27.5%";"7.5%";"27.5%";12
"896";"CINA4A";"87.5%";"92.5%";"15%";"30%";"15%";7
"897";"CINA4A";"40%";"37.5%";"70%";"10%";"70%";29
"898";"CINA4A";"57.5%";"40%";"80%";"15%";"80%";33
"899";"CINA4A";"80%";"80%";"47.5%";"15%";"47.5%";20
"900";"CINA4A";"22.5%";"7.5%";"90%";"0%";"90%";37
"901";"CINA4A";"47.5%";"40%";"70%";"12.5%";"70%";29
"902";"CINA4A";"22.5%";"7.5%";"90%";"12.5%";"90%";37
"903";"CINA4A";"2.5%";"0%";"100%";"12.5%";"100%";41
"904";"CINA4A";"90%";"80%";"82.5%";"12.5%";"82.5%";34
"905";"CINA4A";"45%";"7.5%";"97.5%";"25%";"97.5%";40
"906";"CINA4A";"75%";"80%";"27.5%";"7.5%";"27.5%";12
"907";"CINA4A";"45%";"60%";"30%";"0%";"30%";13
"908";"CINA4A";"27.5%";"47.5%";"0%";"10%";"0%";1
"909";"CINA4A";"52.5%";"67.5%";"0%";"30%";"0%";1
"910";"CINA4A";"52.5%";"67.5%";"0%";"2.5%";"0%";1
"911";"CINA4A";"27.5%";"47.5%";"0%";"2.5%";"0%";1
"912";"CINA4A";"20%";"20%";"65%";"30%";"65%";27
"913";"CINA4A";"40%";"47.5%";"52.5%";"2.5%";"52.5%";22
"914";"CINA4A";"35%";"35%";"70%";"10%";"70%";29
"915";"CINA4A";"35%";"20%";"85%";"15%";"85%";35
"916";"CINA4A";"87.5%";"92.5%";"17.5%";"17.5%";"17.5%";8
"917";"CINA4A";"75%";"85%";"22.5%";"25%";"22.5%";10
"918";"CINA4A";"35%";"60%";"0%";"2.5%";"0%";1
"919";"CINA4A";"75%";"85%";"22.5%";"12.5%";"22.5%";10
"920";"CINA4A";"80%";"85%";"55%";"30%";"55%";23
"921";"CINA4A";"87.5%";"85%";"62.5%";"12.5%";"62.5%";26
"922";"CINA4A";"82.5%";"85%";"22.5%";"17.5%";"22.5%";10
"923";"CINA4A";"87.5%";"85%";"72.5%";"27.5%";"72.5%";30
"924";"CINA4A";"52.5%";"67.5%";"0%";"12.5%";"0%";1
"925";"CINA4A";"17.5%";"25%";"37.5%";"2.5%";"37.5%";16
"926";"CINA4A";"52.5%";"67.5%";"0%";"20%";"0%";1
"927";"CINA4A";"20%";"20%";"65%";"15%";"65%";27
"928";"CINA4A";"50%";"47.5%";"70%";"7.5%";"70%";29
"929";"CINA4A";"70%";"67.5%";"42.5%";"25%";"42.5%";18
"930";"CINA4A";"35%";"20%";"85%";"7.5%";"85%";35
"931";"CINA4A";"45%";"60%";"30%";"25%";"30%";13
"932";"CINA4A";"52.5%";"67.5%";"0%";"20%";"0%";1
"933";"CINA4A";"52.5%";"67.5%";"0%";"25%";"0%";1
"934";"CINA4A";"87.5%";"85%";"45%";"20%";"45%";19
"935";"CINA4A";"87.5%";"85%";"30%";"45%";"30%";13
"936";"CINA4A";"87.5%";"85%";"32.5%";"20%";"32.5%";14
"937";"CINA4A";"17.5%";"25%";"37.5%";"7.5%";"37.5%";16
"938";"CINA4A";"17.5%";"25%";"37.5%";"0%";"37.5%";16
"939";"CINA4A";"10%";"2.5%";"87.5%";"37.5%";"87.5%";36
"940";"CINA4A";"35%";"25%";"77.5%";"7.5%";"77.5%";32
"941";"CINA4A";"57.5%";"65%";"27.5%";"2.5%";"27.5%";12
"942";"CINA4A";"32.5%";"2.5%";"97.5%";"12.5%";"97.5%";40
"943";"CINA4A";"27.5%";"47.5%";"0%";"12.5%";"0%";1
"944";"CINA4A";"20%";"20%";"65%";"12.5%";"65%";27
"945";"CINA4A";"50%";"47.5%";"70%";"12.5%";"70%";29
"946";"CINA4A";"87.5%";"85%";"32.5%";"27.5%";"32.5%";14
"947";"CINA4A";"15%";"2.5%";"92.5%";"20%";"92.5%";38
"948";"CINA4A";"2.5%";"2.5%";"75%";"15%";"75%";31
"949";"CINA4A";"50%";"47.5%";"70%";"0%";"70%";29
"950";"CINA4A";"20%";"20%";"65%";"10%";"65%";27
"951";"CINA4A";"15%";"2.5%";"92.5%";"10%";"92.5%";38
"952";"CINA4A";"65%";"77.5%";"20%";"35%";"20%";9
"953";"CINA4A";"35%";"60%";"0%";"27.5%";"0%";1
"954";"CINA4A";"52.5%";"35%";"87.5%";"25%";"87.5%";36
"955";"CINA4A";"65%";"77.5%";"20%";"12.5%";"20%";9
"956";"CINA4A";"65%";"35%";"90%";"0%";"90%";37
"957";"CINA4A";"57.5%";"67.5%";"22.5%";"7.5%";"22.5%";10
"958";"CINA4A";"80%";"65%";"72.5%";"25%";"72.5%";30
"959";"CINA4A";"32.5%";"35%";"50%";"27.5%";"50%";21
"960";"CINA4A";"40%";"7.5%";"100%";"7.5%";"100%";41
"961";"CINA4B";"37.5%";"22.5%";"92.5%";"22.5%";"92.5%";38
"962";"CINA4B";"10%";"12.5%";"67.5%";"25%";"67.5%";28
"963";"CINA4B";"2.5%";"7.5%";"0%";"25%";"0%";1
"964";"CINA4B";"45%";"42.5%";"42.5%";"17.5%";"42.5%";18
"965";"CINA4B";"30%";"27.5%";"52.5%";"12.5%";"52.5%";22
"966";"CINA4B";"20%";"27.5%";"0%";"30%";"0%";1
"967";"CINA4B";"70%";"70%";"35%";"20%";"35%";15
"968";"CINA4B";"57.5%";"70%";"0%";"65%";"0%";1
"969";"CINA4B";"7.5%";"7.5%";"65%";"47.5%";"65%";27
"970";"CINA4B";"82.5%";"80%";"30%";"25%";"30%";13
"971";"CINA4B";"20%";"27.5%";"0%";"27.5%";"0%";1
"972";"CINA4B";"17.5%";"7.5%";"87.5%";"17.5%";"87.5%";36
"973";"CINA4B";"70%";"65%";"42.5%";"40%";"42.5%";18
"974";"CINA4B";"5%";"5%";"97.5%";"15%";"97.5%";40
"975";"CINA4B";"82.5%";"65%";"85%";"5%";"85%";35
"976";"CINA4B";"45%";"22.5%";"95%";"30%";"95%";39
"977";"CINA4B";"37.5%";"22.5%";"92.5%";"12.5%";"92.5%";38
"978";"CINA4B";"37.5%";"22.5%";"92.5%";"32.5%";"92.5%";38
"979";"CINA4B";"37.5%";"22.5%";"92.5%";"22.5%";"92.5%";38
"980";"CINA4B";"10%";"5%";"100%";"32.5%";"100%";41
"981";"CINA4B";"20%";"22.5%";"72.5%";"5%";"72.5%";30
"982";"CINA4B";"37.5%";"22.5%";"92.5%";"10%";"92.5%";38
"983";"CINA4B";"87.5%";"65%";"92.5%";"17.5%";"92.5%";38
"984";"CINA4B";"45%";"42.5%";"42.5%";"5%";"42.5%";18
"985";"CINA4B";"2.5%";"2.5%";"95%";"12.5%";"95%";39
"986";"CINA4B";"75%";"80%";"0%";"55%";"0%";1
"987";"CINA4B";"45%";"42.5%";"42.5%";"12.5%";"42.5%";18
"988";"CINA4B";"10%";"12.5%";"67.5%";"12.5%";"67.5%";28
"989";"CINA4B";"100%";"97.5%";"40%";"55%";"40%";17
"990";"CINA4B";"57.5%";"42.5%";"77.5%";"7.5%";"77.5%";32
"991";"CINA4B";"5%";"12.5%";"0%";"15%";"0%";1
"992";"CINA4B";"97.5%";"97.5%";"0%";"45%";"0%";1
"993";"CINA4B";"70%";"42.5%";"85%";"5%";"85%";35
"994";"CINA4B";"30%";"27.5%";"52.5%";"15%";"52.5%";22
"995";"CINA4B";"10%";"12.5%";"67.5%";"27.5%";"67.5%";28
"996";"CINA4B";"7.5%";"7.5%";"65%";"5%";"65%";27
"997";"CINA4B";"2.5%";"7.5%";"0%";"12.5%";"0%";1
"998";"CINA4B";"30%";"27.5%";"52.5%";"17.5%";"52.5%";22
"999";"CINA4B";"57.5%";"70%";"0%";"12.5%";"0%";1
"1000";"CINA4B";"10%";"12.5%";"67.5%";"25%";"67.5%";28
"1001";"CINA4B";"45%";"42.5%";"42.5%";"17.5%";"42.5%";18
"1002";"CINA4B";"20%";"27.5%";"0%";"10%";"0%";1
"1003";"CINA4B";"87.5%";"80%";"60%";"15%";"60%";25
"1004";"CINA4B";"75%";"80%";"0%";"15%";"0%";1
"1005";"CINA4B";"70%";"70%";"35%";"17.5%";"35%";15
"1006";"CINA4B";"75%";"80%";"0%";"5%";"0%";1
"1007";"CINA4B";"92.5%";"92.5%";"27.5%";"55%";"27.5%";12
"1008";"CINA4B";"42.5%";"62.5%";"0%";"42.5%";"0%";1
"1009";"CINA4B";"100%";"97.5%";"40%";"10%";"40%";17
"1010";"CINA4B";"30%";"27.5%";"52.5%";"17.5%";"52.5%";22
"1011";"CINA4B";"55%";"62.5%";"40%";"10%";"40%";17
"1012";"CINA4B";"57.5%";"42.5%";"77.5%";"42.5%";"77.5%";32
"1013";"CINA4B";"45%";"42.5%";"42.5%";"22.5%";"42.5%";18
"1014";"CINA4B";"45%";"42.5%";"42.5%";"45%";"42.5%";18
"1015";"CINA4B";"45%";"42.5%";"42.5%";"27.5%";"42.5%";18
"1016";"CINA4B";"2.5%";"2.5%";"95%";"32.5%";"95%";39
"1017";"CINA4B";"37.5%";"42.5%";"0%";"5%";"0%";1
"1018";"CINA4B";"45%";"42.5%";"42.5%";"12.5%";"42.5%";18
"1019";"CINA4B";"70%";"42.5%";"85%";"27.5%";"85%";35
"1020";"CINA4B";"0%";"0%";"85%";"5%";"85%";35
"1021";"CINA4B";"7.5%";"7.5%";"65%";"2.5%";"65%";27
"1022";"CINA4B";"75%";"80%";"0%";"37.5%";"0%";1
"1023";"CINA4B";"42.5%";"62.5%";"0%";"7.5%";"0%";1
"1024";"CINA4B";"20%";"12.5%";"90%";"15%";"90%";37
"1025";"CINA4B";"57.5%";"42.5%";"77.5%";"25%";"77.5%";32
"1026";"CINA4B";"20%";"27.5%";"52.5%";"2.5%";"52.5%";22
"1027";"CINA4B";"2.5%";"7.5%";"0%";"15%";"0%";1
"1028";"CINA4B";"30%";"27.5%";"52.5%";"12.5%";"52.5%";22
"1029";"CINA4B";"57.5%";"70%";"0%";"17.5%";"0%";1
"1030";"CINA4B";"10%";"12.5%";"67.5%";"20%";"67.5%";28
"1031";"CINA4B";"45%";"42.5%";"42.5%";"7.5%";"42.5%";18
"1032";"CINA4B";"20%";"27.5%";"0%";"5%";"0%";1
"1033";"CINA4B";"92.5%";"92.5%";"27.5%";"40%";"27.5%";12
"1034";"CINA4B";"20%";"27.5%";"0%";"35%";"0%";1
"1035";"CINA4B";"30%";"27.5%";"52.5%";"35%";"52.5%";22
"1036";"CINA4B";"82.5%";"80%";"30%";"35%";"30%";13
"1037";"CINA4B";"20%";"27.5%";"0%";"17.5%";"0%";1
"1038";"CINA4B";"17.5%";"7.5%";"87.5%";"12.5%";"87.5%";36
"1039";"CINA4B";"100%";"100%";"25%";"72.5%";"25%";11
"1040";"CINA4B";"2.5%";"7.5%";"0%";"30%";"0%";1
"1041";"CINA4B";"87.5%";"80%";"60%";"22.5%";"60%";25
"1042";"CINA4B";"92.5%";"92.5%";"27.5%";"42.5%";"27.5%";12
"1043";"CINA4B";"55%";"62.5%";"40%";"12.5%";"40%";17
"1044";"CINA4B";"70%";"70%";"35%";"2.5%";"35%";15
"1045";"CINA4B";"10%";"12.5%";"67.5%";"22.5%";"67.5%";28
"1046";"CINA4B";"82.5%";"80%";"30%";"30%";"30%";13
"1047";"CINA4B";"95%";"92.5%";"42.5%";"20%";"42.5%";18
"1048";"CINA4B";"20%";"12.5%";"90%";"40%";"90%";37
"1049";"CINA4B";"20%";"12.5%";"90%";"22.5%";"90%";37
"1050";"CINA4B";"30%";"27.5%";"52.5%";"27.5%";"52.5%";22
"1051";"CINA4B";"75%";"80%";"0%";"5%";"0%";1
"1052";"CINA4B";"2.5%";"2.5%";"85%";"5%";"85%";35
"1053";"CINA4B";"70%";"42.5%";"85%";"22.5%";"85%";35
"1054";"CINA4B";"82.5%";"80%";"30%";"22.5%";"30%";13
"1055";"CINA4B";"70%";"42.5%";"85%";"15%";"85%";35
"1056";"CINA4B";"75%";"70%";"65%";"12.5%";"65%";27
"1057";"CINA4C";"15%";"32.5%";"57.5%";"7.5%";"57.5%";24
"1058";"CINA4C";"0%";"0%";"95%";"12.5%";"95%";39
"1059";"CINA4C";"2.5%";"7.5%";"70%";"7.5%";"70%";29
"1060";"CINA4C";"100%";"97.5%";"57.5%";"12.5%";"57.5%";24
"1061";"CINA4C";"15%";"32.5%";"57.5%";"15%";"57.5%";24
"1062";"CINA4C";"42.5%";"32.5%";"77.5%";"7.5%";"77.5%";32
"1063";"CINA4C";"70%";"32.5%";"90%";"7.5%";"90%";37
"1064";"CINA4C";"10%";"7.5%";"92.5%";"15%";"92.5%";38
"1065";"CINA4C";"10%";"7.5%";"92.5%";"7.5%";"92.5%";38
"1066";"CINA4C";"50%";"42.5%";"57.5%";"7.5%";"57.5%";24
"1067";"CINA4C";"70%";"32.5%";"90%";"20%";"90%";37
"1068";"CINA4C";"70%";"32.5%";"90%";"7.5%";"90%";37
"1069";"CINA4C";"10%";"17.5%";"55%";"25%";"55%";23
"1070";"CINA4C";"7.5%";"17.5%";"0%";"20%";"0%";1
"1071";"CINA4C";"70%";"55%";"62.5%";"12.5%";"62.5%";26
"1072";"CINA4C";"7.5%";"17.5%";"0%";"27.5%";"0%";1
"1073";"CINA4C";"2.5%";"2.5%";"70%";"20%";"70%";29
"1074";"CINA4C";"60%";"55%";"35%";"5%";"35%";15
"1075";"CINA4C";"70%";"55%";"62.5%";"27.5%";"62.5%";26
"1076";"CINA4C";"15%";"17.5%";"70%";"20%";"70%";29
"1077";"CINA4C";"70%";"55%";"62.5%";"12.5%";"62.5%";26
"1078";"CINA4C";"32.5%";"17.5%";"82.5%";"30%";"82.5%";34
"1079";"CINA4C";"10%";"2.5%";"92.5%";"20%";"92.5%";38
"1080";"CINA4C";"2.5%";"2.5%";"70%";"5%";"70%";29
"1081";"CINA4C";"10%";"15%";"52.5%";"20%";"52.5%";22
"1082";"CINA4C";"95%";"95%";"20%";"17.5%";"20%";9
"1083";"CINA4C";"15%";"42.5%";"0%";"7.5%";"0%";1
"1084";"CINA4C";"15%";"42.5%";"0%";"25%";"0%";1
"1085";"CINA4C";"50%";"42.5%";"65%";"30%";"65%";27
"1086";"CINA4C";"10%";"15%";"52.5%";"5%";"52.5%";22
"1087";"CINA4C";"32.5%";"42.5%";"42.5%";"22.5%";"42.5%";18
"1088";"CINA4C";"15%";"7.5%";"92.5%";"15%";"92.5%";38
"1089";"CINA4C";"50%";"42.5%";"65%";"15%";"65%";27
"1090";"CINA4C";"15%";"17.5%";"70%";"7.5%";"70%";29
"1091";"CINA4C";"92.5%";"90%";"47.5%";"7.5%";"47.5%";20
"1092";"CINA4C";"7.5%";"17.5%";"0%";"12.5%";"0%";1
"1093";"CINA4C";"60%";"55%";"35%";"20%";"35%";15
"1094";"CINA4C";"32.5%";"17.5%";"82.5%";"15%";"82.5%";34
"1095";"CINA4C";"15%";"17.5%";"70%";"15%";"70%";29
"1096";"CINA4C";"70%";"55%";"62.5%";"17.5%";"62.5%";26
"1097";"CINA4C";"10%";"7.5%";"90%";"10%";"90%";37
"1098";"CINA4C";"32.5%";"17.5%";"82.5%";"7.5%";"82.5%";34
"1099";"CINA4C";"97.5%";"100%";"0%";"5%";"0%";1
"1100";"CINA4C";"70%";"55%";"62.5%";"7.5%";"62.5%";26
"1101";"CINA4C";"32.5%";"42.5%";"42.5%";"5%";"42.5%";18
"1102";"CINA4C";"87.5%";"90%";"22.5%";"12.5%";"22.5%";10
"1103";"CINA4C";"15%";"37.5%";"0%";"5%";"0%";1
"1104";"CINA4C";"50%";"65%";"0%";"7.5%";"0%";1
"1105";"CINA4C";"42.5%";"7.5%";"95%";"5%";"95%";39
"1106";"CINA4C";"87.5%";"90%";"22.5%";"20%";"22.5%";10
"1107";"CINA4C";"87.5%";"90%";"22.5%";"17.5%";"22.5%";10
"1108";"CINA4C";"92.5%";"90%";"47.5%";"20%";"47.5%";20
"1109";"CINA4C";"32.5%";"42.5%";"42.5%";"5%";"42.5%";18
"1110";"CINA4C";"77.5%";"82.5%";"25%";"7.5%";"25%";11
"1111";"CINA4C";"97.5%";"100%";"0%";"17.5%";"0%";1
"1112";"CINA4C";"82.5%";"90%";"0%";"7.5%";"0%";1
"1113";"CINA4C";"97.5%";"100%";"0%";"7.5%";"0%";1
"1114";"CINA4C";"97.5%";"100%";"20%";"15%";"20%";9
"1115";"CINA4C";"65%";"65%";"27.5%";"20%";"27.5%";12
"1116";"CINA4C";"10%";"17.5%";"55%";"2.5%";"55%";23
"1117";"CINA4C";"90%";"90%";"22.5%";"30%";"22.5%";10
"1118";"CINA4C";"32.5%";"17.5%";"82.5%";"20%";"82.5%";34
"1119";"CINA4C";"2.5%";"2.5%";"87.5%";"5%";"87.5%";36
"1120";"CINA4C";"92.5%";"90%";"47.5%";"20%";"47.5%";20
"1121";"CINA4C";"65%";"42.5%";"77.5%";"20%";"77.5%";32
"1122";"CINA4C";"10%";"2.5%";"92.5%";"7.5%";"92.5%";38
"1123";"CINA4C";"92.5%";"95%";"0%";"20%";"0%";1
"1124";"CINA4C";"82.5%";"82.5%";"50%";"12.5%";"50%";21
"1125";"CINA4C";"77.5%";"82.5%";"25%";"5%";"25%";11
"1126";"CINA4C";"95%";"95%";"20%";"15%";"20%";9
"1127";"CINA4C";"77.5%";"42.5%";"82.5%";"12.5%";"82.5%";34
"1128";"CINA4C";"82.5%";"82.5%";"50%";"7.5%";"50%";21
"1129";"CINA4C";"50%";"42.5%";"65%";"20%";"65%";27
"1130";"CINA4C";"32.5%";"42.5%";"42.5%";"15%";"42.5%";18
"1131";"CINA4C";"32.5%";"42.5%";"42.5%";"20%";"42.5%";18
"1132";"CINA4C";"15%";"7.5%";"92.5%";"7.5%";"92.5%";38
"1133";"CINA4C";"82.5%";"82.5%";"50%";"30%";"50%";21
"1134";"CINA4C";"50%";"42.5%";"65%";"27.5%";"65%";27
"1135";"CINA4C";"65%";"65%";"27.5%";"17.5%";"27.5%";12
"1136";"CINA4C";"65%";"65%";"27.5%";"12.5%";"27.5%";12
