"arms";"jacc_quantile";"turn_quantile";"nest_quantile";"bray_quantile";"nest";"nest_numeric"
"172";"CINA1B";"75%";"42.5%";"87.5%";"25%";"87.5%";36
"173";"CINA1B";"20%";"0%";"100%";"5%";"100%";41
"174";"CINA1B";"30%";"35%";"70%";"22.5%";"70%";29
"175";"CINA1B";"97.5%";"100%";"20%";"57.5%";"20%";9
"176";"CINA1B";"75%";"80%";"0%";"10%";"0%";1
"177";"CINA1B";"70%";"42.5%";"77.5%";"10%";"77.5%";32
"178";"CINA1B";"75%";"80%";"0%";"30%";"0%";1
"179";"CINA1B";"60%";"42.5%";"65%";"7.5%";"65%";27
"180";"CINA1B";"85%";"80%";"25%";"40%";"25%";11
"181";"CINA1B";"45%";"37.5%";"70%";"27.5%";"70%";29
"182";"CINA1B";"85%";"80%";"25%";"52.5%";"25%";11
"183";"CINA1B";"30%";"37.5%";"45%";"47.5%";"45%";19
"184";"CINA1B";"70%";"42.5%";"77.5%";"20%";"77.5%";32
"185";"CINA1B";"75%";"80%";"0%";"7.5%";"0%";1
"186";"CINA1B";"35%";"42.5%";"0%";"17.5%";"0%";1
"187";"CINA1B";"10%";"0%";"97.5%";"10%";"97.5%";40
"188";"CINA1B";"10%";"0%";"97.5%";"12.5%";"97.5%";40
"189";"CINA1B";"25%";"35%";"45%";"12.5%";"45%";19
"190";"CINA1B";"35%";"42.5%";"0%";"20%";"0%";1
"191";"CINA1B";"25%";"15%";"82.5%";"2.5%";"82.5%";34
"192";"CINA1B";"5%";"0%";"95%";"20%";"95%";39
"193";"CINA1C";"25%";"30%";"50%";"15%";"50%";21
"194";"CINA1C";"70%";"72.5%";"25%";"12.5%";"25%";11
"195";"CINA1C";"15%";"20%";"45%";"12.5%";"45%";19
"196";"CINA1C";"85%";"52.5%";"87.5%";"12.5%";"87.5%";36
"197";"CINA1C";"35%";"20%";"90%";"7.5%";"90%";37
"198";"CINA1C";"97.5%";"100%";"17.5%";"37.5%";"17.5%";8
"199";"CINA1C";"35%";"52.5%";"0%";"30%";"0%";1
"200";"CINA1C";"7.5%";"20%";"0%";"2.5%";"0%";1
"201";"CINA1C";"25%";"30%";"50%";"35%";"50%";21
"202";"CINA1C";"27.5%";"20%";"70%";"15%";"70%";29
"203";"CINA1C";"35%";"52.5%";"0%";"7.5%";"0%";1
"204";"CINA1C";"52.5%";"52.5%";"32.5%";"20%";"32.5%";14
"205";"CINA1C";"90%";"95%";"0%";"25%";"0%";1
"206";"CINA1C";"80%";"72.5%";"52.5%";"7.5%";"52.5%";22
"207";"CINA1C";"35%";"30%";"75%";"12.5%";"75%";31
"208";"CINA1C";"70%";"30%";"95%";"12.5%";"95%";39
"209";"CINA1C";"80%";"72.5%";"52.5%";"5%";"52.5%";22
"210";"CINA1C";"95%";"95%";"20%";"17.5%";"20%";9
"211";"CINA1C";"70%";"72.5%";"25%";"17.5%";"25%";11
"212";"CINA1C";"15%";"30%";"0%";"10%";"0%";1
"213";"CINA1C";"27.5%";"7.5%";"100%";"7.5%";"100%";41
"214";"CINA1C";"70%";"72.5%";"25%";"12.5%";"25%";11
"215";"CINA1C";"35%";"30%";"75%";"7.5%";"75%";31
"216";"CINA1C";"35%";"30%";"75%";"5%";"75%";31
"217";"CINA1C";"80%";"72.5%";"52.5%";"12.5%";"52.5%";22
"218";"CINA1C";"95%";"72.5%";"95%";"15%";"95%";39
"219";"CINA1C";"80%";"72.5%";"52.5%";"22.5%";"52.5%";22
"220";"CINA1C";"2.5%";"7.5%";"65%";"7.5%";"65%";27
"221";"CINA1C";"25%";"30%";"50%";"15%";"50%";21
"222";"CINA1C";"15%";"30%";"0%";"17.5%";"0%";1
"223";"CINA1C";"70%";"30%";"95%";"15%";"95%";39
"224";"CINA1C";"87.5%";"72.5%";"70%";"27.5%";"70%";29
"225";"CINA1C";"35%";"30%";"75%";"15%";"75%";31
"226";"CINA1C";"70%";"85%";"0%";"5%";"0%";1
"227";"CINA1C";"65%";"45%";"82.5%";"7.5%";"82.5%";34
"228";"CINA1C";"20%";"15%";"70%";"2.5%";"70%";29
"229";"CINA1C";"15%";"20%";"45%";"12.5%";"45%";19
"230";"CINA1C";"52.5%";"52.5%";"32.5%";"7.5%";"32.5%";14
"231";"CINA1C";"0%";"0%";"62.5%";"5%";"62.5%";26
"232";"CINA1C";"20%";"15%";"70%";"7.5%";"70%";29
"233";"CINA1C";"35%";"45%";"30%";"5%";"30%";13
"234";"CINA1C";"15%";"20%";"45%";"2.5%";"45%";19
"235";"CINA1C";"32.5%";"15%";"90%";"5%";"90%";37
"236";"CINA1C";"47.5%";"45%";"57.5%";"5%";"57.5%";24
"237";"CINA1C";"70%";"85%";"0%";"22.5%";"0%";1
"238";"CINA1C";"87.5%";"90%";"20%";"17.5%";"20%";9
"239";"CINA1C";"87.5%";"90%";"20%";"7.5%";"20%";9
"240";"CINA1C";"35%";"30%";"75%";"10%";"75%";31
"241";"CINA1C";"35%";"45%";"30%";"7.5%";"30%";13
"242";"CINA1C";"52.5%";"52.5%";"32.5%";"7.5%";"32.5%";14
"243";"CINA1C";"70%";"85%";"0%";"7.5%";"0%";1
"244";"CINA1C";"80%";"87.5%";"17.5%";"7.5%";"17.5%";8
"245";"CINA1C";"65%";"45%";"82.5%";"10%";"82.5%";34
"246";"CINA1C";"97.5%";"90%";"70%";"10%";"70%";29
"247";"CINA1C";"97.5%";"90%";"70%";"20%";"70%";29
"248";"CINA1C";"75%";"30%";"95%";"15%";"95%";39
"249";"CINA1C";"80%";"87.5%";"17.5%";"7.5%";"17.5%";8
"250";"CINA1C";"97.5%";"90%";"70%";"15%";"70%";29
"251";"CINA1C";"65%";"45%";"82.5%";"12.5%";"82.5%";34
"252";"CINA1C";"85%";"85%";"50%";"15%";"50%";21
"253";"CINA1C";"0%";"0%";"100%";"5%";"100%";41
"254";"CINA1C";"75%";"52.5%";"80%";"15%";"80%";33
"255";"CINA1C";"27.5%";"7.5%";"100%";"10%";"100%";41
"256";"CINA1C";"15%";"30%";"0%";"7.5%";"0%";1
"257";"CINA1C";"65%";"72.5%";"22.5%";"15%";"22.5%";10
"258";"CINA1C";"20%";"15%";"70%";"7.5%";"70%";29
"259";"CINA1C";"87.5%";"90%";"20%";"37.5%";"20%";9
