"X_BI","X_CAWT","X_FORM","X_HYD","MSP10_SP","MSP12_SP","MSP15_SP","MSP18_SP","MSP19_SP","MSP20_SP","MSP24_SP","MSP33_SP","MSP3_SP","MSP9_SP","Root.Barn","SOWT","Miniacina_miniacea_.R.","Miniacina_sp_.A.","Miniacina_sp_.J.","Parasmittina_margaritata","MSP12_BRYO","MSP14_BRYO","Smittoidea_cautela","Watersipora_subtorquata","Smittipora_harmeriana","Disporella_novaehollandiae","MSP5_BRYO","Crisia_elongata","Tubulipora_sp.","BIOFR","BIOFV","CYANOB","MSP10_ASCC","MSP10_ASCS","MSP11_ASCS","MSP15_ASCC","MSP16_ASCC","MSP1_ASCC","MSP1_ASCS","MSP22_ASCC","MSP24_ASCC","MSP2_ASCC","MSP2_ASCS","MSP3_ASCS","MSP4_ASCC","MSP5_ASCC","MSP5_ASCS","MSP6_ASCC","MSP6_ASCS","MSP8_ASCC","MSP9_ASCC","MSP9_ASCS","NR","OROS","X_BRUP","CCA","GRUP","RDUP"
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,2,0,0,0,0,22,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,16,0,0
2.128,27.659,0,4.255,0,0,0,0,0,2.128,0,0,0,0,0,0,0,0,8.511,0,0,0,0,0,0,0,0,0,0,6.383,2.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.128,0,0,17.021,4.255,0,21.277,0,0
0,16.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.666,0,0,0,0,0,0,0,0,0,0,2.778,0,2.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.111,8.333,0,16.666,0,0
5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,2.5,0,0,0,0,2.5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,22.5,0,0
0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,36,0,0,0,0,0,0,0,20,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,18,0,0
0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,4.167,0,0,0,12.5,0,0,0,0,0,0,0,33.333,0,0,2.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,2.083,0,16.667,0,0
0,15,0,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,7.5,0,0,0,0,0,0,0,2.5,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,22.5,12.5,0,30,0,0
4.546,9.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.273,0,0,0,2.273,15.909,4.546,0,0,2.273,0,2.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.272,0,0,29.545,0,0
0,42.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.082,0,10.204,0,0,0,0,0,0,0,4.082,0,0,2.041,0,0,0,0,0,0,0,0,0,0,0,0,0,2.041,0,0,0,0,0,0,0,0,2.041,0,0,28.571,0,0
0,25,0,2.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.583,0,0,2.083,0,0,0,4.167,10.416,0,0,2.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333,0,0,27.083,0,0
5.405,2.703,2.703,0,0,0,0,0,0,0,0,0,0,0,0,5.405,0,0,2.703,0,0,0,0,0,0,0,0,0,0,0,2.703,2.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.027,24.324,0,21.622,0,0
2.273,22.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.273,0,0,0,0,0,0,0,0,0,6.818,0,2.273,9.091,2.273,0,0,0,0,0,0,0,0,0,0,0,0,0,15.909,0,0,0,0,0,0,0,25,2.273,0,9.091,0,0
0,31.112,0,0,0,0,0,2.222,0,0,0,0,2.222,0,0,0,2.222,0,2.222,0,0,0,0,0,0,0,8.889,0,0,0,0,6.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.222,15.556,0,24.445,0,0
0,18.367,0,0,2.041,0,0,0,0,0,0,0,0,0,0,0,0,0,14.286,0,0,0,0,0,0,0,14.286,0,0,8.163,2.041,6.122,0,0,0,0,0,0,0,0,0,0,0,2.041,0,0,0,0,0,0,0,0,6.122,0,0,24.49,0,0
5.263,10.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.632,0,0,0,0,2.632,2.632,0,2.632,0,0,0,0,0,5.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.421,21.053,0,26.316,0,0
2.632,5.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.474,2.632,0,31.579,0,0
6,38,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,0,0,18,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
4.652,20.93,0,0,0,0,0,0,0,0,0,0,0,0,4.652,0,2.325,0,16.279,0,0,0,0,0,0,0,4.652,0,0,11.628,4.652,0,0,0,0,0,0,0,0,0,0,0,0,0,9.302,0,0,0,0,0,0,0,4.652,0,0,16.279,0,0
0,9.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.756,0,0,0,0,0,0,0,0,0,0,2.439,0,2.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.439,0,0,0,0,0,31.707,7.317,0,34.146,0,0
0,5.555,0,5.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.778,11.111,0,0,0,2.778,0,0,0,0,0,16.667,0,0,0,0,2.778,0,0,0,0,0,0,0,0,0,0,38.888,0,0,13.889,0,0
0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,2,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,22,0,0
0,0,0,21.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,2.128,0,0,0,0,2.128,0,0,0,0,0,14.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.66,0,0,23.404,0,0
0,0,0,2.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.778,0,0,0,0,0,0,2.778,0,2.778,0,2.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.666,0,0,0,0,0,24.999,16.666,0,27.778,0,0
0,19.444,0,2.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333,0,0,5.556,5.556,0,0,2.778,0,0,0,0,0,0,0,0,0,0,22.222,0,0,0,0,0,0,0,27.778,0,0,5.556,0,0
0,0,0,16.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.652,0,0,0,0,0,0,4.082,0,0,0,4.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.49,2.041,0,16.327,0,0
0,2.041,0,18.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.204,0,0,0,0,0,0,0,0,0,0,2.041,16.327,0,0,0,0,0,0,0,0,0,18.367,0,0,0,0,0,0,0,0,2.041,0,0,28.571,0,0,2.041,0,0
0,4.762,0,0,0,0,0,0,0,0,0,0,0,0,0,4.762,2.381,0,0,0,0,0,0,0,0,2.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.762,0,0,0,0,0,23.81,33.333,0,23.81,0,0
0,0,0,5,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,2.5,0,0,62.5,2.5,0,12.5,0,0
