latitude;longitude;incubation;season;sanctuary;locality;site;abc;station;prefixe;arms_name;arms_number;b_m_t;o_c;plate_number;Orientation;arms_campaign;image_id;image_name;Bivalvia;Calc_worm_tube;Hydrozoa;msp10_spo;msp11_spo;msp12_spo;msp15_spo;msp14_spo;msp16_spo;msp18_spo;msp19_spo;msp1_spo;msp20_spo;msp21_spo;msp22_spo;msp23_spo;msp24_spo;msp25_spo;msp26_spo;msp27_spo;msp28_spo;msp29_spo;msp2_spo;msp30_spo;msp31_spo;msp33_spo;msp34_spo;msp35_spo;msp36_spo;msp37_spo;msp38_spo;msp3_spo;msp4_spo;msp5_spo;msp7_spo;msp8_spo;msp9_spo;Pina_sp;Cirripedia;Soft_worm_tube;Miniacina_sp_(r)_for;Miniacina_sp_(a)_for;Miniacina_sp_(j)_for;Parasmittina_margaritata_bryo;msp12_bryo;msp14_bryo;Schizomavella_sp_bryo;Smittoidea_cautela_bryo;Watersipora_subtorquata_bryo;Smittipora_harmeriana_bryo;Disporella_novaehollandiae_bryo;msp5_bryo;Crisia_elongata_bryo;Tubulipora_sp_bryo;Scrupocellaria_sp_bryo;Red_biofilm;Green_biofilm;Cyanobacteria;Lissoclinum_sp1_ascc;Ascidia_archaia_ascs;Didemnidae_sp1_ascc;Lissoclinum_sp2_ascc;Cystodystes_sp_ascc;Polysyncraton_milleporae_ascc;Botryllus_sp1_ascc;msp15_ascc;Botryllus_gregalis_ascc;msp17_ascc;Botryllus_sp2_ascc;Aplidium_sp_ascc;Polycarpa_sp_ascs;Trididemnum_sp_ascc;Botryllus_sp3_ascc;Botryllus_tuberatus_ascc;Botryllus_sp6_ascc;Eusynstyela_hartmeyeri_ascc;msp2_ascs;Botryllus_sp4_ascc;Styela_canopus_ascs;Didemnidae_sp2_ascc;Ascidia_sydneiensis_ascs;Botryllus_sp5_ascc;msp5_ascs;Polysyncraton_rostrum_ascc;msp6_ascs;msp7_ascc;Didemnidae_sp3_ascc;Ascidia_fictile_ascs;msp9_ascc;msp9_ascs;bare_plate;sediment;Brown_upright_macroalgae;CCA;Green_encr_macroalgae;Green_upright_macroalgae;Red_upright_Macroalgae
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS11;CINA;CINA4B;11;M;F;3;U;CINARMS;2462711;CINARMS11_3U.jpg;0;8,108;2,703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,703;0;0;5,405;0;0;0;0;0;0;0;0;0;0;2,703;0;0;0;2,703;0;0;0;0;0;0;0;0;0;0;0;2,703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37,837;16,216;0;18,918;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS11;CINA;CINA4B;11;M;F;4;D;CINARMS;2462712;CINARMS11_4D.jpg;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;7,5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;2,5;0;0;0;32,5;0;0;10;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS11;CINA;CINA4B;11;M;O;4;U;CINARMS;2462713;CINARMS11_4U.jpg;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;2;0;0;0;0;0;0;2;0;0;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;24;0;14;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS11;CINA;CINA4B;11;M;O;5;D;CINARMS;2462714;CINARMS11_5D.jpg;0;22,449;2,041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,041;0;12,245;0;0;0;0;0;0;0;0;8,163;0;0;0;14,286;4,082;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,286;0;0;18,367;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS11;CINA;CINA4B;11;M;F;5;U;CINARMS;2462715;CINARMS11_5U.jpg;0;12,821;17,949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,564;5,128;2,564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,256;30,769;0;15,385;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS11;CINA;CINA4B;11;M;F;6;D;CINARMS;2462716;CINARMS11_6D.jpg;0;0;5,555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,778;0;0;0;0;0;0;0;0;2,778;0;2,778;0;11,111;0;0;0;0;0;0;0;0;0;0;2,778;0;0;0;2,778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,889;0;0;0;36,111;0;0;19,444;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS11;CINA;CINA4B;11;M;O;6;U;CINARMS;2462717;CINARMS11_6U.jpg;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;18;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;12;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS11;CINA;CINA4B;11;M;O;7;D;CINARMS;2462718;CINARMS11_7D.jpg;0;56,251;2,083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,083;0;0;0;0;0;0;0;0;4,167;0;0;0;8,333;0;2,083;0;0;0;0;0;0;0;0;0;0;0;0;2,083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,167;0;0;0;6,25;0;0;10,417;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS11;CINA;CINA4B;11;H;F;7;U;CINARMS;2462719;CINARMS11_7U.jpg;0;10,256;2,564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,564;0;0;0;0;0;0;0;0;0;0;12,821;0;0;0;0;0;10,256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28,205;17,949;0;7,692;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS11;CINA;CINA4B;11;H;F;8;D;CINARMS;2462720;CINARMS11_8D.jpg;0;12,121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,03;12,121;0;0;0;12,121;0;0;3,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,03;0;0;0;42,425;0;0;12,121;0;0;0
